listing_id,neighbourhood,risk_probability,high_risk_flag,risk_band
1321727691770357803,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.1034,0,Low
1321731392646048903,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.1042,0,Low
1321733531602331450,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.1034,0,Low
1321735628419201560,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.1042,0,Low
1321738230918264565,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.1042,0,Low
1321741307909164459,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.1042,0,Low
1321746101537441904,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.1042,0,Low
1321748766813698929,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.3295,0,Low
1321750570338057110,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.1034,0,Low
1321754062720333625,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.1034,0,Low
1321757806907746353,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.1034,0,Low
1321759947849651421,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.1034,0,Low
1321761803229363617,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.3322,0,Low
1321815629036521689,ΠΑΓΚΡΑΤΙ,0.7645,1,High
1321852179489947993,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,0.7386,1,High
1321856366559661942,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.1795,0,Low
1321858755712236185,ΠΑΓΚΡΑΤΙ,0.5265,0,Moderate
1321870078886055690,ΛΥΚΑΒΗΤΤΟΣ,0.3136,0,Low
1321899991818859364,ΝΕΟΣ ΚΟΣΜΟΣ,0.5008,0,Moderate
1322298309552612153,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.2118,0,Low
1322426445376798328,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,0.2203,0,Low
1322441536491347568,ΠΑΓΚΡΑΤΙ,0.2973,0,Low
1322450407331722912,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.7377,1,High
1322451512736892520,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.2932,0,Low
1322472328684353459,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,0.2672,0,Low
1322472881342394619,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.3196,0,Low
1322476902030002654,ΠΕΤΡΑΛΩΝΑ,0.2631,0,Low
1322482989610581266,ΓΟΥΔΙ,0.1924,0,Low
1322500132103002532,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,0.3057,0,Low
1322500956577660762,ΓΚΑΖΙ,0.3328,0,Low
1322539466619324327,ΑΚΡΟΠΟΛΗ,0.2172,0,Low
1322553240359591153,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,0.2981,0,Low
1322573067087451310,ΓΟΥΒΑ,0.8001,1,High
1322594854181612743,ΠΕΤΡΑΛΩΝΑ,0.4448,0,Moderate
1322635704250944857,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.2957,0,Low
1322932031411403542,ΚΟΛΩΝΑΚΙ,0.2973,0,Low
1322934403382455528,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.4155,0,Moderate
